Stage,Dataset,Setting,APLS,TOPO,Precision,Recall,tiles_total,apls_used,topo_used,metrics_root,eval_log
A,spacenet,SpaceNet 16x16 (stageA),0.6860703068181818,0.755687100230051,0.8285320844191961,0.7010625166936558,382,352,371,save/spacenet_toponet_16x16_stageA,
A,cityscale,CityScale 16x16 (stageA),0.5886081111111111,0.7683627368283057,0.8808322411525299,0.6852318156466567,27,27,27,save/cityscale_toponet_16x16_stageA,/mnt/data/outputs/20260123_cityscale_eval_16x16_stageA.log
